groupname,overallocation,conflicts,under,unwilling,unpreffered
samadje,18,1,4,4,27
samadje,29,3,0,25,21
samadje,17,7,4,9,22
samadje,30,2,3,28,10
samadje,16,3,3,12,23
samadje,8,5,9,0,18
samadje,17,2,9,13,11
samadje,27,6,2,23,16
samadje,15,2,7,12,17
samadje,6,6,6,0,22
samadje,27,6,2,26,13
samadje,21,3,5,12,13
samadje,4,5,12,0,15
samadje,25,5,0,8,33
samadje,25,4,1,27,18
samadje,4,3,9,0,25
samadje,12,3,4,0,26
samadje,20,2,3,7,31
samadje,6,2,7,0,28
samadje,21,4,5,7,23
samadje,18,4,3,8,23
samadje,15,5,4,12,15
samadje,32,3,1,11,27
samadje,17,2,4,11,22
samadje,21,7,0,7,29
samadje,35,4,0,14,21
samadje,32,4,1,23,13
samadje,32,5,0,18,16
samadje,22,3,5,15,11
samadje,30,3,2,26,14
samadje,21,2,4,12,21
samadje,3,1,11,0,20
samadje,16,6,6,11,18
samadje,22,2,3,12,23
samadje,6,3,7,0,24
samadje,19,5,4,10,16
samadje,16,2,7,11,16
samadje,10,4,4,0,26
samadje,10,5,3,0,26
samadje,6,2,16,0,11
samadje,20,5,3,4,25
samadje,10,4,6,0,19
samadje,33,4,2,20,18
samadje,9,4,4,0,27
samadje,21,2,2,8,29
samadje,14,3,3,12,24
samadje,18,1,6,9,25
samadje,20,3,3,7,26
samadje,32,3,1,18,21
samadje,32,2,2,20,20
samadje,22,3,2,12,22
samadje,21,6,0,10,27
samadje,5,4,10,0,18
samadje,17,4,2,0,27
samadje,27,3,2,25,15
samadje,20,5,1,13,20
samadje,23,5,0,10,31
samadje,28,4,1,21,15
samadje,22,5,0,12,22
samadje,28,2,1,22,21
samadje,29,2,2,17,22
samadje,19,3,6,12,11
samadje,29,3,1,21,18
samadje,28,5,2,23,14
samadje,32,2,2,25,15
samadje,25,4,1,22,20
samadje,32,4,1,24,11
samadje,16,2,7,10,17
samadje,17,2,6,11,17
samadje,19,7,3,7,22
samadje,19,2,6,8,19
samadje,21,5,0,13,27
samadje,3,1,15,0,15
samadje,29,3,0,20,25
samadje,37,4,0,11,23
samadje,27,6,0,4,31
samadje,19,5,2,7,24
samadje,29,4,0,18,29
samadje,18,4,5,11,17
samadje,6,2,14,0,19
samadje,22,2,3,4,28
samadje,26,5,1,4,25
samadje,27,7,0,23,17
samadje,18,5,3,10,22
samadje,18,7,3,8,21
samadje,24,7,1,8,24
samadje,15,4,1,12,27
samadje,14,8,2,0,24
samadje,9,7,1,0,27
samadje,16,7,4,11,17
